,Time,User,Key/Agent,Message
2321,2020-05-31 16:59:05,shukrithis-ubuntu,systemd[1],' Starting Network Manager Script Dispatcher Service...\n'
2322,2020-05-31 16:59:05,shukrithis-ubuntu,dbus-daemon[1010],"' [system] Activating via systemd: service name=\'org.freedesktop.nm_dispatcher\' unit=\'dbus-org.freedesktop.nm-dispatcher.service\' requested by \':1.12\' (uid=0 pid=1012 comm=""/usr/sbin/NetworkManager --no-daemon "" label=""unconfined"")\n'"
2323,2020-05-31 16:59:05,shukrithis-ubuntu,systemd[1],' Started Network Manager Script Dispatcher Service.\n'
2324,2020-05-31 16:59:15,shukrithis-ubuntu,systemd[1],' NetworkManager-dispatcher.service: Succeeded.\n'
2325,2020-05-31 17:01:55,shukrithis-ubuntu,/usr/lib/gdm3/gdm-x-session[2348],' (II) systemd-logind: releasing fd for 13:70\n'
2326,2020-05-31 17:02:00,shukrithis-ubuntu,dbus-daemon[1010],"' [system] Activating via systemd: service name=\'net.reactivated.Fprint\' unit=\'fprintd.service\' requested by \':1.314\' (uid=1000 pid=2561 comm=""/usr/bin/gnome-shell "" label=""unconfined"")\n'"
2327,2020-05-31 17:02:00,shukrithis-ubuntu,systemd[1],' Starting Fingerprint Authentication Daemon...\n'
2328,2020-05-31 17:02:00,shukrithis-ubuntu,systemd[1],' Started Fingerprint Authentication Daemon.\n'
2329,2020-05-31 17:02:30,shukrithis-ubuntu,systemd[1],' fprintd.service: Succeeded.\n'
2330,2020-05-31 17:28:32,shukrithis-ubuntu,systemd[1],' Starting Network Manager Script Dispatcher Service...\n'
2331,2020-05-31 17:28:32,shukrithis-ubuntu,dbus-daemon[1010],"' [system] Activating via systemd: service name=\'org.freedesktop.nm_dispatcher\' unit=\'dbus-org.freedesktop.nm-dispatcher.service\' requested by \':1.12\' (uid=0 pid=1012 comm=""/usr/sbin/NetworkManager --no-daemon "" label=""unconfined"")\n'"
2332,2020-05-31 17:28:32,shukrithis-ubuntu,systemd[1],' Started Network Manager Script Dispatcher Service.\n'
2333,2020-05-31 17:28:42,shukrithis-ubuntu,systemd[1],' NetworkManager-dispatcher.service: Succeeded.\n'
2334,2020-05-31 17:30:01,shukrithis-ubuntu,CRON[14238],' (root) CMD ([ -x /etc/init.d/anacron ] && if [ ! -d /run/systemd/system ]; then /usr/sbin/invoke-rc.d anacron start >/dev/null; fi)\n'
2335,2020-05-31 17:32:27,shukrithis-ubuntu,systemd[1],' Condition check resulted in Run anacron jobs being skipped.\n'
